"_id",Sensor No,Temp,Time
60b498c4b0d3941ee894d7dd,7,25.8437,05/31/2021 11:05:24
60b498c4b0d3941ee894d7de,8,25.7251,05/31/2021 11:05:24
60b498c4b0d3941ee894d7df,9,25.176,05/31/2021 11:05:24
60b498c4b0d3941ee894d7e0,10,26.6562,05/31/2021 11:05:24
60b498c4b0d3941ee894d7e1,11,27.0628,05/31/2021 11:05:24
60b498c4b0d3941ee894d7e2,12,27.0727,05/31/2021 11:05:24
60b498c4b0d3941ee894d7e3,13,26.7562,05/31/2021 11:05:24
60b498c4b0d3941ee894d7e4,14,25.7112,05/31/2021 11:05:24
60b498c4b0d3941ee894d7e5,15,26.3967,05/31/2021 11:05:24
60b498c4b0d3941ee894d7e6,16,27.0273,05/31/2021 11:05:24
60b498c4b0d3941ee894d7e7,17,27.0722,05/31/2021 11:05:24
60b498c4b0d3941ee894d7e8,18,26.9395,05/31/2021 11:05:24
60b498c4b0d3941ee894d7e9,19,25.3289,05/31/2021 11:05:24
60b498c4b0d3941ee894d7ea,20,25.6285,05/31/2021 11:05:24
60b498c4b0d3941ee894d7eb,21,25.381,05/31/2021 11:05:24
60b498c4b0d3941ee894d7ec,22,25.6345,05/31/2021 11:05:24
60b498c4b0d3941ee894d7ed,23,25.6557,05/31/2021 11:05:24
60b498c4b0d3941ee894d7ee,24,25.565,05/31/2021 11:05:24
60b498c4b0d3941ee894d7ef,25,25.7577,05/31/2021 11:05:24
60b498c4b0d3941ee894d7f0,26,25.665,05/31/2021 11:05:24
60b498c4b0d3941ee894d7f1,27,25.5089,05/31/2021 11:05:24
60b498c4b0d3941ee894d7f2,28,25.8562,05/31/2021 11:05:24
60b498c4b0d3941ee894d7f3,29,25.9721,05/31/2021 11:05:24
60b498c4b0d3941ee894d7f4,30,25.5028,05/31/2021 11:05:24
60b498c4b0d3941ee894d7f5,31,26.0825,05/31/2021 11:05:24
60b498c4b0d3941ee894d7f6,32,25.8838,05/31/2021 11:05:24
60b498c4b0d3941ee894d7f7,33,25.9067,05/31/2021 11:05:24
60b498c4b0d3941ee894d7f8,34,25.864,05/31/2021 11:05:24
60b498c4b0d3941ee894d7f9,35,25.707,05/31/2021 11:05:24
60b498c4b0d3941ee894d7fa,36,25.4674,05/31/2021 11:05:24
60b498c4b0d3941ee894d7fb,37,25.5607,05/31/2021 11:05:24
60b498c4b0d3941ee894d7fc,38,25.7428,05/31/2021 11:05:24
60b498c4b0d3941ee894d7fd,39,26.0767,05/31/2021 11:05:24
60b498c4b0d3941ee894d7fe,40,25.0527,05/31/2021 11:05:24
60b498c4b0d3941ee894d7ff,41,25.0388,05/31/2021 11:05:24
60b498c4b0d3941ee894d800,42,24.2936,05/31/2021 11:05:24
60b498c4b0d3941ee894d801,43,23.6826,05/31/2021 11:05:24
60b498c4b0d3941ee894d802,44,23.432,05/31/2021 11:05:24
