,Sensor No,Temp,Time
676,10,25.3889,2021-06-14 14:39:34
677,10,25.3889,2021-06-14 14:39:42
678,10,25.3889,2021-06-14 14:39:44
679,10,25.3889,2021-06-14 14:40:27
680,10,25.3889,2021-06-14 14:40:30
681,10,25.3986,2021-06-14 14:51:33
682,10,25.3986,2021-06-14 14:51:39
683,10,25.3986,2021-06-14 14:52:23
684,10,25.3986,2021-06-14 14:52:30
685,10,25.3986,2021-06-14 14:52:32
686,10,25.3986,2021-06-14 14:52:35
687,10,25.3986,2021-06-14 14:53:09
688,10,25.3986,2021-06-14 14:53:12
689,10,25.3986,2021-06-14 14:53:28
690,10,25.3986,2021-06-14 14:53:35
691,10,25.3986,2021-06-14 14:53:57
692,10,25.3986,2021-06-14 14:54:16
693,10,25.3986,2021-06-14 14:54:44
694,10,25.4237,2021-06-14 16:11:34
695,10,25.4237,2021-06-14 16:12:30
696,10,25.4237,2021-06-14 16:14:30
697,10,25.3712,2021-06-14 16:16:16
698,10,25.3712,2021-06-14 16:17:28
699,10,25.3712,2021-06-14 16:18:00
700,10,25.3712,2021-06-14 16:19:32
701,10,25.3712,2021-06-14 16:21:04
702,10,25.3712,2021-06-14 16:30:39
703,10,25.3712,2021-06-14 16:31:12
704,10,25.3712,2021-06-14 16:43:10
705,10,25.514,2021-06-14 17:50:32
706,10,25.4667,2021-06-15 08:14:52
707,10,25.6984,2021-06-15 08:29:57
708,10,25.6984,2021-06-15 08:30:57
709,10,25.8843,2021-06-15 11:17:34
710,10,25.8843,2021-06-15 11:18:34
711,10,25.8843,2021-06-15 11:19:34
712,10,25.8843,2021-06-15 11:20:34
713,10,25.8843,2021-06-15 11:20:35
714,10,25.8843,2021-06-15 11:21:35
715,10,25.8843,2021-06-15 11:22:35
716,10,25.8843,2021-06-15 11:23:06
717,10,25.8843,2021-06-15 11:23:36
718,10,25.8843,2021-06-15 11:23:41
719,10,25.8843,2021-06-15 11:24:36
720,10,25.8843,2021-06-15 11:25:36
721,10,25.7651,2021-06-15 11:26:36
722,10,25.7651,2021-06-15 11:27:37
723,10,25.7651,2021-06-15 11:28:37
724,10,25.7651,2021-06-15 11:29:37
725,10,25.7651,2021-06-15 11:30:38
726,10,25.7651,2021-06-15 11:31:38
727,10,25.7651,2021-06-15 11:32:38
728,10,25.7651,2021-06-15 11:33:39
729,10,25.7651,2021-06-15 11:34:39
730,10,25.7651,2021-06-15 11:35:39
731,10,25.7651,2021-06-15 11:36:06
732,10,25.7651,2021-06-15 11:36:40
733,10,25.7651,2021-06-15 11:37:40
734,10,25.7651,2021-06-15 11:38:40
735,10,25.7651,2021-06-15 11:39:41
736,10,25.7651,2021-06-15 11:40:41
737,10,25.7651,2021-06-15 11:41:37
738,10,25.7651,2021-06-15 11:41:41
739,10,25.7651,2021-06-15 11:42:42
740,10,25.7651,2021-06-15 11:43:42
741,10,25.7651,2021-06-15 11:44:43
742,10,25.7651,2021-06-15 11:45:43
743,10,25.7651,2021-06-15 11:46:43
744,10,25.7651,2021-06-15 11:47:44
745,10,25.7651,2021-06-15 11:48:47
746,10,25.7651,2021-06-15 11:49:49
747,10,25.7651,2021-06-15 11:50:51
748,10,25.7651,2021-06-15 11:51:51
749,10,25.7651,2021-06-15 11:52:52
750,10,25.7651,2021-06-15 11:53:06
751,10,25.7651,2021-06-15 11:53:52
752,10,25.7651,2021-06-15 11:54:52
753,10,25.6947,2021-06-15 11:55:53
754,10,25.6947,2021-06-15 11:56:54
755,10,25.6947,2021-06-15 11:57:18
756,10,25.6947,2021-06-15 11:57:54
757,10,25.6947,2021-06-15 11:58:16
758,10,25.6947,2021-06-15 11:58:55
759,10,25.6947,2021-06-15 11:59:55
760,10,25.6947,2021-06-15 12:00:11
761,10,25.6947,2021-06-15 12:00:46
762,10,25.6947,2021-06-15 12:00:49
763,10,25.6947,2021-06-15 12:00:54
764,10,25.6947,2021-06-15 12:00:55
765,10,25.6947,2021-06-15 12:00:58
766,10,25.6947,2021-06-15 12:01:55
767,10,25.6947,2021-06-15 12:02:07
768,10,25.6947,2021-06-15 12:02:56
